Mes,Periodo,IDEAC,PIB,Riesgo_Pais,Tasa_Desempleo,IPCO,Oil,TAR,CreditoVivienda,SalarioReal,IPC,CreditoProductivo,CreditoMicro
1,2012,147.953346090615,15798590,818,4.91304949973203,234.8,107.07,8.17,NA,318.0268859863281,91.26673889160156,NA,NA
1,2013,150.465477717927,16458713,704,4.61055741431679,239,105.1,8.17,NA,362.39825439453125,95.006195068359375,NA,NA
1,2014,163.808159193113,17096076,605,4.85351887801272,235.6,102.1,8.17,NA,402.5883483886719,97.78418731689453,NA,NA
1,2015,163.319525761649,17816050,887,3.83732283788859,238.52,47.11,7.84,NA,421.6622009277344,101.23809051513672,NA,NA
1,2016,148.216544839011,17204627,1509,5.711140150994424,243.48,29.78,9.15,39.69594003,437.2584533691406,104.36643981933594,22.314836502075195,187.63681030273437
1,2017,156.443281149088,17497935,590,4.396300907777253,235.14,53.59,8.02,55.004444459999974,454.9913024902344,105.30329132080078,87.433868408203125,227.41543579101562
1,2018,158.472227185344,17762564,442,4.4344972258787765,236.02,66.23,7.72,83.1,482.5045471191406,105.20404815673828,86.30000305175781,293.1000061035156
1,2019,161.810471652474,17970651,690,4.6093947993182205,241.02,56.58,7.99,77.97776548000002,500.0543212890625,105.77349853515625,102.86940002441406,350.0225830078125
1,2021,154.84970367,16644748.98,1273,5.33388781849494,249.79,53.6,8.58,76,522.4437255859375,104.35409545898437,128.60000610351562,348.79998779296875
2,2012,148.844367712009,15798590,790,4.91304949973203,236.07,112.69,8.17,NA,315.5733642578125,91.97632598876953,NA,NA
2,2013,150.136629007302,16458713,704,4.61055741431679,240.33,107.64,8.17,NA,361.73016357421875,95.1816635131836,NA,NA
2,2014,165.138096905395,17096076,609,5.57530667701539,236.51,104.83,8.17,NA,402.1463623046875,97.89165496826172,NA,NA
2,2015,162.757555148292,17816050,763,4.83880747343165,239.03,54.79,7.41,NA,419.095703125,101.85806274414062,NA,NA
2,2016,147.574189446705,17204627,1405,7.35276676112148,241.78,31.03,8.88,36.75785629,436.65570068359375,104.51051330566406,24.701438903808594,213.96876525878906
2,2017,157.031844067849,17497935,576,5.6434353207939,236.95,54.35,8.25,53.77961346,454.09112548828125,105.51204681396484,80.91581726074219,243.9664306640625
2,2018,159.686768710689,17762564,469,5.68532416117364,236.42,63.46,7.41,77.20841821999997,481.7666931152344,105.36517333984375,131.52755737304687,274.12890625
2,2019,161.956854454676,17970651,584,5.82543066484251,241.66,61.13,8.82,103.92647767999996,501.2038269042969,105.53091430664062,186.98248291015625,369.9576110839844
3,2012,149.458387368069,15798590,824,4.91304949973203,235.99,117.79,8.17,NA,312.75567626953125,92.8049545288086,NA,NA
3,2013,149.949840566814,16458713,700,4.61055741431679,241.14,102.52,8.17,NA,360.15130615234375,95.59892272949219,NA,NA
3,2014,166.159847288129,17096076,508,4.85351887801272,237.41,104.04,8.17,NA,399.36566162109375,98.57325744628906,NA,NA
3,2015,162.162573184463,17816050,865,3.83732283788859,242.74,52.83,7.31,NA,417.3670349121094,102.27994537353516,NA,NA
3,2016,147.329481039005,17204627,1058,5.711140150994424,241.23,37.34,8.86,51.51298003000001,436.0582275390625,104.6537094116211,43.89614486694336,252.51405334472656
3,2017,157.290372277845,17497935,666,4.396300907777253,237.43,50.9,8.14,72.55726140000003,453.46673583984375,105.6573257446289,109.495361328125,283.2803649902344
3,2018,160.861778383518,17762564,544,4.4344972258787765,236.88,64.17,7.26,90.43083938,481.4599914550781,105.43229675292969,156.3822479248047,335.6969299316406
3,2019,162.175384366653,17970651,592,4.6093947993182205,241.99,63.79,8.75,88.88610213,502.265869140625,105.3077621459961,106.17880249023437,345.3588562011719
